time	tpos	tneg	flux	fpos	fneg
103.116	2.862	1.888	3.29237181e-10	8.07031701e-11	7.22552292e-11
108.859	1.965	2.881	2.940322329e-10	7.37649108e-11	7.11487434e-11
113.105	1.831	2.28	5.09733168e-10	9.6534585e-11	9.73702863e-11
116.658	1.922	1.722	5.24957433e-10	9.89406222e-11	1.017036237e-10
120.708	1.765	2.128	3.481429014e-10	7.04041128e-11	7.2028677e-11
125.007	2.541	2.535	3.97763331e-10	6.68139423e-11	6.86304654e-11
129.771	2.047	2.223	3.012185715e-10	6.22526247e-11	6.31998171e-11
133.994	1.823	2.176	3.464569332e-10	6.66960252e-11	6.75633924e-11
138.094	2.422	2.276	2.745067962e-10	5.41497957e-11	5.47193892e-11
144.218	2.437	3.702	2.073926526e-10	4.08313395e-11	4.12388907e-11
150.391	2.599	3.735	2.042817546e-10	3.8885511e-11	3.9225375e-11
156.722	3.857	3.732	1.772490006e-10	3.36921963e-11	3.397375863e-11
164.311	3.646	3.732	1.759536618e-10	3.55313889e-11	3.58442637e-11
171.756	3.499	3.799	1.820872788e-10	3.58899954e-11	3.62594547e-11
195.643	15.774	14.314	9.89971353e-11	2.214557394e-11	2.214557394e-11
224.035	14.963	12.618	1.159382133e-10	2.472738723e-11	2.472738723e-11
268.449	25.709	29.452	5.23735422e-11	1.171591176e-11	1.171591176e-11
402.3	177.691	108.142	1.541201487e-11	2.50385163e-12	2.50385163e-12
4107.362	194.802	216.398	1.886056704e-12	4.9133196e-13	4.9133196e-13
4471.379	129.155	169.215	2.601540396e-12	6.75273354e-13	6.75273354e-13
4913.64	301.187	313.105	1.257959115e-12	3.273123798e-13	3.273123798e-13
5761.483	606.694	546.657	1.069400283e-12	2.210703222e-13	2.210703222e-13
11442.123	710.371	1037.217	5.04666981e-13	1.215614274e-13	1.215614274e-13
