time	tpos	tneg	flux	fpos	fneg
-8.15200000584126	0.04	0.04	1.88208209621009e-08	4.62186344416238e-09	4.62186344416238e-09
-0.772000025510788	0.02	0.02	4.67016228384137e-08	8.17289660633445e-09	8.17289660633445e-09
-0.732000004053116	0.02	0.02	4.44671546722125e-08	8.59268956737782e-09	8.59268956737782e-09
-0.672000016570091	0.04	0.04	2.23672052082001e-08	5.39525939136501e-09	5.39525939136501e-09
-0.592000003457069	0.04	0.04	2.6042876650652e-08	5.30441413348047e-09	5.30441413348047e-09
-0.532000015974045	0.02	0.02	3.74651881265762e-08	7.67972511051471e-09	7.67972511051471e-09
-0.472000013589859	0.04	0.04	2.63847278095656e-08	5.44340671117201e-09	5.44340671117201e-09
-0.412000011205673	0.02	0.02	3.16257511294619e-08	7.21905768469944e-09	7.21905768469944e-09
-0.372000019550323	0.02	0.02	4.80012814536771e-08	8.08486462991967e-09	8.08486462991967e-09
-0.331999998092651	0.02	0.02	4.51246204254032e-08	8.50328638156043e-09	8.50328638156043e-09
-0.292000006437302	0.02	0.02	4.83244016180313e-08	8.21969652781831e-09	8.21969652781831e-09
-0.252000014781952	0.02	0.02	4.99647894281028e-08	8.29507777961989e-09	8.29507777961989e-09
-0.212000023126602	0.02	0.02	4.65588790485505e-08	8.40786341130798e-09	8.40786341130798e-09
-0.17200000166893	0.02	0.02	6.10719079574174e-08	8.54558963850854e-09	8.54558963850854e-09
-0.13200001001358	0.02	0.02	5.31739151706908e-08	8.56815759208154e-09	8.56815759208154e-09
-0.0920000183582306	0.02	0.02	4.35794245976532e-08	7.97906109056114e-09	7.97906109056114e-09
-0.0520000267028809	0.02	0.02	3.07156166856338e-08	7.62567591414419e-09	7.62567591414419e-09
-0.0120000052452087	0.02	0.02	4.61765702538578e-08	9.37003202104688e-09	9.37003202104688e-09
0.027999986410141	0.02	0.02	1.19684107257244e-07	1.23957245872418e-08	1.23957245872418e-08
0.0679999780654907	0.02	0.02	1.56633570749872e-07	1.27074251486739e-08	1.27074251486739e-08
0.107999999523163	0.02	0.02	1.16464565853528e-07	1.1233836565562e-08	1.1233836565562e-08
0.147999991178513	0.02	0.02	8.05582801788505e-08	9.36017972712073e-09	9.36017972712073e-09
0.187999982833862	0.02	0.02	6.57913063329702e-08	8.84361772660166e-09	8.84361772660166e-09
0.227999974489212	0.02	0.02	5.03424050146115e-08	8.06437656083284e-09	8.06437656083284e-09
