time	tpos	tneg	flux	fpos	fneg
68.644	0.883	0.898	1.06649906e-09	1.591827668e-10	1.592044868e-10
70.369	0.767	0.842	1.180949342e-09	1.762066132e-10	1.762398086e-10
71.831	0.47	0.695	1.629906086e-09	2.43149608e-10	2.432006862e-10
73.47	0.751	1.169	9.7502347e-10	1.482539868e-10	1.482859152e-10
75.043	0.742	0.822	1.214530996e-09	1.81085794e-10	1.811201116e-10
76.416	0.649	0.632	1.482740416e-09	2.210560964e-10	2.21089328e-10
77.817	0.907	0.752	1.131267738e-09	1.686497908e-10	1.686700266e-10
79.556	0.578	0.833	1.28848108e-09	1.920823766e-10	1.92100006e-10
81.063	0.738	0.929	1.042889058e-09	1.648625468e-10	1.648731172e-10
82.734	0.793	0.933	1.053358098e-09	1.570277084e-10	1.57036324e-10
84.366	0.834	0.839	1.08696835e-09	1.620374264e-10	1.620445578e-10
86.145	0.974	0.946	9.1941122e-10	1.425007208e-10	1.425056078e-10
87.859	0.87	0.74	1.12902189e-09	1.683058908e-10	1.683114656e-10
89.66	0.967	0.931	9.5549538e-10	1.424377328e-10	1.424417148e-10
91.629	1.117	1.002	8.5592909e-10	1.275951536e-10	1.275983392e-10
93.956	1.07	1.209	7.95792926e-10	1.186305494e-10	1.186334092e-10
96.339	1.159	1.314	7.22730466e-10	1.098475244e-10	1.098499498e-10
98.904	1.425	1.405	6.31455424e-10	9.59747432e-11	9.5976879e-11
101.64	1.281	1.311	6.99848084e-10	1.043281104e-10	1.04330572e-10
104.421	1.432	1.5	6.18736554e-10	9.22366588e-11	9.22389394e-11
107.141	0.928	1.287	8.19026448e-10	1.220945274e-10	1.220976406e-10
109.559	1.242	1.491	6.44497198e-10	9.98916918e-11	9.98941172e-11
112.311	1.804	1.51	5.39224702e-10	8.19569086e-11	8.19589358e-11
115.557	1.049	1.442	7.06969348e-10	1.09574323e-10	1.095769656e-10
118.016	1.382	1.41	6.49711084e-10	9.6854367e-11	9.68569372e-11
120.876	1.398	1.479	6.12178562e-10	9.4882553e-11	9.48848336e-11
123.432	1.323	1.158	7.31514758e-10	1.090489162e-10	1.090516674e-10
126.254	1.459	1.499	6.13183112e-10	9.14088372e-11	9.14111178e-11
129.719	2.121	2.006	4.39536056e-10	6.5522724e-11	6.55242444e-11
133.368	1.527	1.528	5.93886702e-10	8.85320594e-11	8.85340866e-11
136.405	2.121	1.51	4.99604888e-10	7.44772284e-11	7.44789298e-11
140.149	1.41	1.623	5.98071422e-10	8.91557854e-11	8.91578488e-11
143.536	1.807	1.976	4.72588466e-10	7.18285468e-11	7.18301396e-11
147.045	1.559	1.702	5.56211914e-10	8.29156656e-11	8.29176566e-11
150.588	2.001	1.984	4.4190788e-10	6.84917394e-11	6.84933684e-11
154.883	2.536	2.294	3.75703148e-10	5.60068662e-11	5.60084952e-11
159.413	1.621	1.995	3.34670267e-10	6.11024506e-11	6.11037538e-11
163.41	1.631	2.376	3.020745562e-10	5.51513154e-11	5.51526186e-11
167.0	1.891	1.959	3.144517706e-10	5.74110642e-11	5.74124036e-11
170.973	2.232	2.083	4.2091007e-10	6.27461116e-11	6.2748537e-11
175.859	2.092	2.654	2.329516336e-10	4.79078764e-11	4.79089262e-11
180.213	2.002	2.261	2.842104716e-10	5.18898764e-11	5.18913606e-11
184.228	2.475	2.013	2.698782762e-10	4.92731232e-11	4.92744988e-11
188.844	2.543	2.141	2.52880168e-10	4.75347268e-11	4.75359214e-11
193.398	1.747	2.01	3.152613474e-10	5.92607394e-11	5.9262296e-11
197.716	2.026	2.571	2.290495632e-10	5.0133018e-11	5.01340678e-11
211.967	4.651	5.379	1.943355008e-10	4.05217732e-11	4.05217732e-11
223.43	5.724	6.813	1.438925384e-10	3.075298238e-11	3.075298238e-11
235.276	6.414	6.122	1.319539956e-10	2.95322134e-11	2.95322134e-11
248.047	6.18	6.357	1.514839318e-10	3.163578092e-11	3.163578092e-11
260.717	6.046	6.49	1.320380158e-10	2.955102292e-11	2.955102292e-11
272.898	3.895	6.134	1.748207686e-10	3.81815518e-11	3.81815518e-11
283.913	5.417	7.12	1.3607761e-10	3.045511068e-11	3.045511068e-11
298.876	13.019	9.546	7.83667374e-11	1.713019838e-11	1.713019838e-11
324.025	10.436	12.13	7.99017622e-11	1.70489692e-11	1.70489692e-11
352.404	17.159	17.944	4.91757452e-11	1.073102302e-11	1.073102302e-11
379.526	12.603	9.963	7.34664158e-11	1.64422934e-11	1.64422934e-11
413.484	23.777	21.355	3.67342758e-11	8.2287487e-12	8.2287487e-12
460.272	17.105	23.012	4.10527548e-11	9.19611768e-12	9.19611768e-12
500.443	24.573	23.066	3.66068518e-11	8.00873234e-12	8.00873234e-12
544.69	25.457	19.674	3.69579194e-11	8.2640437e-12	8.2640437e-12
598.823	28.993	28.675	2.82461541e-11	6.33870326e-12	6.33870326e-12
656.568	23.901	28.752	3.121422106e-11	6.98595926e-12	6.98595926e-12
710.987	17.121	30.518	3.67498418e-11	8.03315286e-12	8.03315286e-12
756.062	22.192	27.954	3.464279184e-11	7.57257302e-12	7.57257302e-12
824.133	41.877	45.879	1.9389082e-11	4.36283848e-12	4.36283848e-12
890.944	30.227	24.934	3.002742578e-11	6.73239636e-12	6.73239636e-12
942.862	23.44	21.691	3.85909376e-11	8.45001396e-12	8.45001396e-12
998.825	35.174	32.523	2.493563876e-11	5.59077506e-12	5.59077506e-12
1077.275	39.466	43.276	2.021444924e-11	4.54446836e-12	4.54446836e-12
1157.096	34.864	40.355	2.22167726e-11	4.99461536e-12	4.99461536e-12
1223.619	23.502	31.659	3.076230388e-11	6.89098132e-12	6.89098132e-12
1276.374	33.43	29.253	2.684249548e-11	6.0075348e-12	6.0075348e-12
1350.287	34.736	40.484	2.342484624e-11	5.12043932e-12	5.12043932e-12
1450.255	62.64	65.233	1.324193466e-11	2.971614198e-12	2.971614198e-12
1601.392	145.483	88.497	1.61834815e-11	2.634093e-12	2.634093e-12
5446.76	187.869	160.646	2.275698158e-12	5.91501846e-13	5.91501846e-13
5832.539	248.39	197.91	1.801923056e-12	4.68357772e-13	4.68357772e-13
6699.245	826.795	618.316	8.83840376e-13	1.92037561e-13	1.92037561e-13
11333.491	418.237	356.519	9.6619972e-13	2.542431704e-13	2.542431704e-13
12389.128	909.739	637.399	8.1552627e-13	1.674053796e-13	1.674053796e-13
17738.787	1362.788	1277.399	3.72921178e-13	8.68677282e-14	8.68677282e-14
23425.829	1457.428	1064.226	1.80513291e-13	7.2856482e-14	5.82161884e-14
