time	tpos	tneg	flux	fpos	fneg
69.9743357492305	0.306271252653971	0.627777791207436	6.78875744702424e-08	6.70027921276708e-09	6.66919272114592e-09
70.885004784499	0.487963190743571	0.604397782614527	5.35267896547529e-08	5.30773676222583e-09	5.30095445235233e-09
71.8514489319465	0.526729085295955	0.478480956703848	6.07191123146501e-08	6.02363112725272e-09	6.01461100192462e-09
73.0492055230983	0.617135440845203	0.671027505855889	4.77109292899582e-08	4.74432085142327e-09	4.7325332779053e-09
74.1514555612188	0.61080238919007	0.485114597275341	5.65116292099323e-08	5.61720752794371e-09	5.61992247880915e-09
75.3647542483539	0.619742719541634	0.602496297944953	4.95491660514466e-08	4.99546134007864e-09	6.11798938573008e-09
76.6296523856011	0.600222599719899	0.64515541770561	4.71570807981703e-08	4.83860936275126e-09	7.69536479830198e-09
78.0657704342574	0.689686490181089	0.835895448936412	5.15278550750758e-08	4.43569334116616e-09	5.81480706277939e-09
83.302	0.367	0.329	4.82352576e-08	5.38892976e-09	5.16080928e-09
83.981	0.416	0.312	4.61124168e-08	5.0064224e-09	4.93733584e-09
84.755	0.459	0.358	4.15047028e-08	4.66927456e-09	4.38967624e-09
85.573	0.339	0.36	4.8959492e-08	5.29133344e-09	5.11821e-09
86.304	0.406	0.391	4.29498856e-08	4.52743384e-09	4.48600056e-09
87.097	0.413	0.387	4.013469944e-08	4.40003032e-09	4.36651312e-09
87.846	0.39	0.336	4.01115448e-08	4.60490288e-09	4.54660288e-09
88.625	0.389	0.388	2.883906808e-08	3.781089112e-09	3.754606496e-09
89.289	0.323	0.275	3.958196032e-08	5.17891832e-09	5.03143416e-09
89.973	0.266	0.362	3.67822332e-08	4.79672048e-09	4.61645688e-09
90.591	0.336	0.351	3.215525688e-08	4.37210992e-09	4.26520256e-09
91.275	0.375	0.349	3.166768656e-08	4.057814408e-09	4.011527176e-09
91.921	0.332	0.271	3.7457326e-08	4.87550816e-09	4.83231104e-09
92.603	0.321	0.349	3.419453576e-08	4.3768036e-09	4.33163064e-09
93.332	0.331	0.408	2.99780296e-08	4.017726904e-09	3.976964392e-09
94.051	0.359	0.388	3.022967784e-08	3.988236856e-09	3.935742688e-09
94.736	0.324	0.326	3.585788776e-08	4.61196672e-09	4.54714984e-09
95.341	0.341	0.281	3.545207736e-08	4.81098808e-09	4.74671816e-09
95.975	0.284	0.293	3.94831344e-08	5.14733032e-09	5.09309648e-09
96.604	0.348	0.346	3.156962808e-08	4.30358728e-09	4.26685192e-09
97.268	0.392	0.316	3.23834452e-08	4.219584824e-09	4.139909288e-09
98.037	0.337	0.376	3.214113344e-08	4.1945366e-09	4.109493224e-09
98.789	0.368	0.415	2.929226472e-08	3.82974396e-09	3.745285704e-09
99.618	0.396	0.462	2.673983136e-08	3.475926984e-09	3.418765e-09
100.401	0.371	0.386	2.98212556e-08	3.958810408e-09	3.922736064e-09
101.083	0.41	0.311	3.229744952e-08	4.093886208e-09	4.055104624e-09
101.946	0.584	0.453	2.210724128e-08	2.836601976e-09	2.825975688e-09
102.952	0.439	0.422	2.603402824e-08	3.437252672e-09	3.421509552e-09
103.739	0.35	0.348	3.336927488e-08	4.226622376e-09	4.18934684e-09
104.472	0.406	0.383	2.9422526e-08	3.831184288e-09	3.795464408e-09
105.225	0.37	0.347	3.175020544e-08	4.31223264e-09	4.211222696e-09
105.995	0.401	0.4	2.930794e-08	3.847352256e-09	3.748071808e-09
106.91	0.522	0.514	2.18162416e-08	2.99725812e-09	2.92437676e-09
107.894	0.411	0.463	2.545862632e-08	3.553183176e-09	3.478109312e-09
108.703	0.451	0.398	2.661866064e-08	3.622391e-09	3.56559408e-09
109.507	0.351	0.353	3.231119984e-08	4.30979464e-09	4.29656584e-09
110.28	0.409	0.422	2.782003072e-08	3.647526144e-09	3.639880152e-09
111.285	0.558	0.596	2.063599096e-08	2.644117848e-09	2.631720088e-09
112.329	0.504	0.485	2.372045528e-08	3.10920896e-09	3.063856648e-09
113.265	0.451	0.432	2.658989224e-08	3.589561952e-09	3.43363468e-09
114.272	0.505	0.557	2.20914176e-08	2.967771888e-09	2.849081568e-09
115.256	0.576	0.479	2.253824152e-08	2.977429336e-09	2.941638648e-09
116.464	0.614	0.632	1.868179192e-08	2.566927376e-09	2.693381984e-09
117.694	0.48	0.616	2.13912028e-08	2.978316768e-09	3.084435912e-09
118.73	0.401	0.557	2.46772452e-08	3.786450168e-09	3.455736952e-09
119.632	0.549	0.501	2.353035064e-08	3.218097672e-09	3.204582672e-09
120.757	0.612	0.576	2.032306624e-08	3.134551016e-09	2.792256664e-09
121.848	0.587	0.479	2.199828176e-08	3.528974048e-09	3.87886436e-09
122.922	0.599	0.488	2.172944032e-08	3.348114728e-09	3.142227112e-09
124.049	0.4	0.527	2.54824212e-08	4.52433864e-09	3.52554516e-09
124.929	0.587	0.481	2.247029976e-08	3.60083272e-09	3.900786432e-09
126.232	0.636	0.716	1.81072804e-08	2.855417824e-09	3.20214764e-09
127.424	0.557	0.555	2.185432104e-08	3.6516788e-09	3.737664728e-09
128.646	0.598	0.665	1.981587744e-08	3.20683284e-09	3.349191264e-09
129.74	0.542	0.497	2.338861168e-08	3.947281424e-09	3.968057424e-09
130.828	0.383	0.546	2.031323792e-08	3.07805768e-09	2.878901912e-09
131.449	0.266	0.237	2.321121432e-08	3.049682752e-09	2.95989524e-09
132.069	0.386	0.354	1.56548856e-08	2.074619704e-09	2.018149688e-09
132.688	0.279	0.233	2.495996416e-08	3.174128872e-09	3.001221672e-09
133.242	0.293	0.274	2.094494704e-08	2.751071e-09	2.61449212e-09
133.883	0.333	0.348	1.7856866e-08	2.245085088e-09	2.18842088e-09
134.489	0.308	0.272	2.049484984e-08	2.638459144e-09	2.557783392e-09
135.062	0.285	0.266	2.11892092e-08	2.795781376e-09	2.702042184e-09
135.73	0.289	0.382	1.757323968e-08	2.317142616e-09	2.217052328e-09
136.332	0.335	0.314	1.830587352e-08	2.366912584e-09	2.284594256e-09
