GRB	targetID
041218	00020001
041223	00100585
050124	00103647
050126	00103780
050128	00103906
050215B	00106107
050219A	00106415
050219B	00106442
050223	00106709
050315	00111063
050318	00111529
050319	00111622
050326	00112453
050401	00113120
050406	00113872
050408	00020004
050410	00114299
050412	00114485
050416A	00114753
050421	00115135
050422	00115214
050502B	00116116
050504	00020006
050505	00117504
050509A	00118707
050509B	00118749
050520	00020010
050525A	00130088
050603	00131560
050607	00132247
050701	00143708
050712	00145581
050713A	00145675
050713B	00145754
050714	00020014
050714B	00145994
050716	00146227
050717	00146372
050721	00146970
050724	00147478
050726	00147788
050730	00148225
050801	00148522
050802	00148646
050803	00148833
050813	00150139
050814	00150314
050815	00150532
050819	00151131
050820A	00151207
050820B	00151334
050822	00151486
050824	00151905
050826	00152113
050827	00152325
050904	00153514
050908	00154112
050915A	00155242
050915B	00155284
050916	00155408
050922B	00156434
050922C	00156467
051001	00157870
051006	00158593
051008	00158855
051012	00020017
051016A	00159913
051016B	00159994
051021A	00020018
051021B	00160672
051022	00020019
051028	00020020
051105B	00020021
051109A	00163136
051109B	00163170
051111	00163438
051117A	00164268
051117B	00164279
051210	00171931
051211B	00020025
051221A	00173780
051221B	00173904
051227	00174738
060105	00175942
060108	00176453
060109	00176620
060110	00176702
060111A	00176818
060111B	00176918
060115	00177408
060116	00177533
060121	00020027
060123	00020028
060124	00178750
060202	00179968
060203	00180151
060204B	00180241
060206	00180455
060210	00180977
060211A	00181126
060211B	00181156
060218	00191157
060219	00191512
060223A	00192059
060306	00200638
060312	00201391
060313	00201487
060319	00202035
060322	00202442
060323	00202505
060403	00203755
060413	00205096
060418	00205851
060421	00206257
060427	00207281
060428A	00207364
060428B	00207399
060501	00208050
060502A	00208169
060502B	00208275
060505	00208654
060507	00208870
060510A	00209351
060510B	00209352
060512	00209755
060515	00210084
060522	00211117
060526	00211957
060602A	00213180
060602B	00213190
060604	00213486
060605	00213630
060607A	00213823
060614	00214805
060707	00217704
060708	00217805
060712	00218582
060714	00219101
060717	00219646
060719	00220020
060729	00221755
060801	00222154
060804	00222546
060805A	00222683
060805B	00020037
060807	00223217
060813	00224364
060814	00224552
060825	00226382
060901	00020039
060904A	00227996
060904B	00228006
060906	00228316
060908	00228581
060912A	00229185
060919	00230115
060923A	00230662
060923B	00230702
060923C	00230711
060926	00231231
060927	00231362
060928	00020042
060929	00231702
061002	00231974
061004	00232339
061006	00232585
061007	00232683
061019	00234516
061021	00234905
061025	00020043
061028	00235715
061102	00236430
061110A	00238108
061110B	00238174
061121	00239899
061122	00020044
061126	00240766
061201	00241840
061202	00241963
061210	00243690
061217	00251634
061222A	00252588
061222B	00252593
070103	00254532
070107	00255029
070110	00255445
070125	00020047
070129	00258408
070208	00259714
070219	00261132
070220	00261299
070223	00261664
070224	00261880
070227	00262347
070306	00263361
070309	00020050
070311	00020052
070318	00271019
070328	00272773
070330	00273180
070411	00275087
070412	00275119
070419A	00276205
070419B	00276212
070420	00276321
070429A	00277571
070429B	00277582
070506	00278693
070508	00278854
070509	00278903
070517	00279494
070518	00279592
070520A	00279817
070520B	00279898
070521	00279935
070529	00280706
070531	00280958
070611	00282003
070612A	00282073
070615	00020053
070616	00282445
070621	00282808
070628	00283320
070704	00283791
070707	00020054
070714A	00284850
070714B	00284856
070721A	00285653
070721B	00285654
070724A	00285948
